order_id,customer_id,order_date,product_id,product_category,order_value,payment_method,delivery_type,delivery_delay_days,number_of_items,is_multi_size_order,customer_order_count,customer_previous_return_count,customer_previous_cancel_count,customer_historical_return_rate,customer_avg_order_value,order_value_deviation,product_historical_return_rate,category_historical_return_rate,discount_percent,is_first_time_customer,target_returned
ORD-10001,CUST-6714,2025-09-01,PROD-APP-231,Apparel,2450.0,UPI,Standard,0,3,0,0,0,0,0.3686,956.06,1.5626,0.297,0.3,40.0,1,0
ORD-10002,CUST-2025,2025-09-01,PROD-FOO-876,Footwear,1930.0,Netbanking,Express,0,1,0,0,0,0,0.1803,2691.29,-0.2829,0.238,0.26,20.0,1,0
ORD-10003,CUST-2800,2025-09-03,PROD-APP-225,Apparel,1450.0,COD,Standard,3,2,1,0,0,0,0.3468,1626.59,-0.1086,0.2781,0.3,0.0,1,0
ORD-10004,CUST-2092,2025-09-01,PROD-FOO-674,Footwear,7730.0,Credit Card,Express,0,3,0,0,0,0,0.1945,4364.42,0.7711,0.2561,0.26,0.0,1,0
ORD-10005,CUST-3455,2025-09-02,PROD-PER-895,Personal Care,3840.0,Debit Card,Standard,0,1,0,0,0,0,0.4069,3063.51,0.2535,0.0664,0.07,15.0,1,0
ORD-10006,CUST-6981,2025-09-01,PROD-APP-573,Apparel,4480.0,UPI,Standard,0,3,1,0,0,0,0.1788,4355.24,0.0286,0.3313,0.3,10.0,1,0
ORD-10007,CUST-3162,2025-09-02,PROD-ELE-888,Electronics,5110.0,Credit Card,Standard,0,1,0,0,0,0,0.1375,4689.58,0.0897,0.1966,0.16,10.0,1,1
ORD-10008,CUST-2832,2025-09-01,PROD-FOO-556,Footwear,1360.0,Debit Card,Express,0,3,0,0,0,0,0.0361,1752.21,-0.2238,0.3002,0.26,0.0,1,0
ORD-10009,CUST-1854,2025-09-01,PROD-FOO-406,Footwear,2110.0,COD,Standard,0,1,0,0,0,0,0.2031,2225.93,-0.0521,0.2687,0.26,40.0,1,0
ORD-10010,CUST-2330,2025-09-04,PROD-FOO-964,Footwear,2370.0,UPI,Standard,0,1,0,0,0,0,0.1245,2154.6,0.1,0.2707,0.26,20.0,1,0
ORD-10011,CUST-6997,2025-09-01,PROD-PER-654,Personal Care,1960.0,COD,Express,0,2,0,0,0,0,0.349,2132.39,-0.0808,0.1464,0.07,40.0,1,0
ORD-10012,CUST-4792,2025-09-01,PROD-FOO-457,Footwear,1100.0,COD,Standard,2,1,0,0,0,0,0.2058,1337.97,-0.1779,0.2696,0.26,20.0,1,0
ORD-10013,CUST-6614,2025-09-01,PROD-APP-672,Apparel,1410.0,Credit Card,Standard,0,2,0,0,0,0,0.1083,2340.09,-0.3975,0.3659,0.3,20.0,1,0
ORD-10014,CUST-6736,2025-09-04,PROD-APP-197,Apparel,1960.0,UPI,Standard,0,1,0,0,0,0,0.3627,1690.84,0.1592,0.322,0.3,0.0,1,1
